"unitid","institution name","year","IC2009.Religious affiliation","DRVHR2009.Average salary equated to 9-month contracts of full-time instructional staff - all ranks","DRVGR2009.Graduation rate - Bachelor degree within 6 years, total","DRVIC2009.Percent admitted - total","DRVIC2009.Admissions yield - total","IC2009.SAT Critical Reading 25th percentile score","IC2009.SAT Critical Reading 75th percentile score","IC2009.SAT Math 25th percentile score","IC2009.SAT Math 75th percentile score","IC2009.ACT Composite 25th percentile score","IC2009.ACT Composite 75th percentile score","F0809_F2.Total expenses","F0809_F2.Instruction-Total amount","F0809_F2.Value of endowment assets at the end of the fiscal year"
"227429","Paul Quinn College","2009","African Methodist Episcopal","47128","12","41","7","350","430","380","400","11","13","9833787","2235619","4957373"
"228042","Schreiner University","2009","Presbyterian Church (USA)","49602","42","62","47","440","550","440","570","18","23","19864017","6109887","39375731"
"228343","Southwestern University","2009","United Methodist","69254","77","63","24","570","680","570","670","25","30","55130102","18970616","226857412"
"228468","Southwestern Adventist University","2009","Seventh Day Adventists","41266","35","56","36","420","550","418","533","16","22","16941885","6422956","6731642"
"228884","Texas College","2009","Christian Methodist Episcopal","33222","8",,,,,,,,,"12112634","2100851","1319350"
"228981","Texas Lutheran University","2009","American Evangelical Lutheran Church","53538","49","66","49","440","550","460","570","18","23","31318820","8841374","57592479"
"229887","Wiley College","2009","United Methodist","42942","23",,,,,,,,,"16779809","3582033","5802366"
"230047","Brigham Young University-Hawaii","2009","Latter Day Saints (Mormon Church)","82317","52","58","42","480","591","490","600","22","26","83717000","37681000","62976000"
"230630","Stevens-Henager College","2009","Not applicable","40350","0","65","100",,,,,,,,,
"230816","Bennington College","2009","Not applicable","65753","58","66","28",,,,,,,"32524744","12454706","13945113"
"230834","Castleton University","2009","Not applicable","58807","44","70","30","430","530","430","540","17","21",,,
"230931","Lyndon State College","2009","Not applicable","57423","32","91","39","420","520","420","520","16","20",,,
"230940","Marlboro College","2009","Not applicable","56386","60","71","23",,,,,,,"14004460","4978239","30207532"
"230959","Middlebury College","2009","Not applicable","92334","92","20","43","638","730","650","740","30","33","221762000","70943000","699684000"
"231059","Saint Michael's College","2009","Roman Catholic","75335","77","69","22","520","620","520","610","22","26","76296918","25965008","54872816"
"231077","College of St Joseph","2009","Roman Catholic","40563","38","78","43","340","520","360","520","17","21","5217743","1652176","2605606"
"231086","Southern Vermont College","2009","Not applicable","44566","36","93","33","400","500","410","500","15","20","9233912","1715087","989131"
"231095","Sterling College","2009","Not applicable","28476","46","79","35",,,,,,,"4037075","1345130","633127"
"231420","Averett University","2009","Not applicable","52813","51","23","87","410","510","420","530","17","21","18413757","6934864","16450441"
"231554","Bluefield College","2009","Baptist","44484","39","41","58","420","520","430","530","17","20","12031300","3563230","4333100"
"231581","Bridgewater College","2009","Church of Brethren","55425","57","86","18","450","550","460","560","18","23","34617425","10237410","47540979"
"232025","Emory & Henry College","2009","United Methodist","54181","57","70","31","450","570","460","570","18","25","25224035","8420074","66842675"
"232089","Ferrum College","2009","United Methodist","48395","36","80","28","390","500","400","490","16","21","26875107","7054659","32961456"
"232256","Hampden-Sydney College","2009","Not applicable","66959","66","56","23","500","600","500","610","21","26","46086051","13860529","115399281"
"232308","Hollins University","2009","Not applicable","62333","65","88","32","510","660","450","570","22","28","34107491","14918817","111569087"
"233295","Randolph-Macon College","2009","United Methodist","63668","63","58","14","490","580","490","580",,,"43517946","12023636","97966065"
