"unitid","institution name","year","EF2015A.Level of student","EF2015A.Grand total","EF2015A.Grand total women","EF2015A.Asian total","EF2015A.Black or African American total","EF2015A.Hispanic total","IDX_EF"
"230940","Marlboro College","2015","All students, Undergraduate total","189","93","1","0","2","-2"
"230959","Middlebury College","2015","All students, Undergraduate total","2542","1348","158","80","228","-2"
"231059","Saint Michael's College","2015","All students, Undergraduate total","1997","1088","37","51","85","-2"
"231077","College of St Joseph","2015","All students, Undergraduate total","255","121","0","62","29","-2"
"231086","Southern Vermont College","2015","All students, Undergraduate total","475","290","4","48","39","-2"
"231095","Sterling College","2015","All students, Undergraduate total","117","55","0","3","4","-2"
"231420","Averett University","2015","All students, Undergraduate total","874","442","8","283","31","-2"
"231554","Bluefield College","2015","All students, Undergraduate total","959","545","8","195","37","-2"
"231581","Bridgewater College","2015","All students, Undergraduate total","1834","970","21","197","87","-2"
"232025","Emory & Henry College","2015","All students, Undergraduate total","1024","496","7","109","40","-2"
"232089","Ferrum College","2015","All students, Undergraduate total","1334","599","8","451","64","-2"
"232256","Hampden-Sydney College","2015","All students, Undergraduate total","1087","4","15","70","24","-2"
"232308","Hollins University","2015","All students, Undergraduate total","639","636","16","80","43","-2"
