"unitid","institution name","year","DRVGR2011_RV.Graduation rate - bachelor's degree within 6 years, total"
"215275","University of Pittsburgh-Greensburg","2011","52"
"215284","University of Pittsburgh-Johnstown","2011","59"
"215798","Saint Vincent College","2011","73"
"216278","Susquehanna University","2011","77"
"216287","Swarthmore College","2011","95"
"216357","Thiel College","2011","39"
"216524","Ursinus College","2011","80"
"216542","University of Valley Forge","2011","53"
"216667","Washington & Jefferson College","2011","74"
"216807","Westminster College","2011","74"
"217013","Wilson College","2011","53"
"217624","Allen University","2011","0"
"217721","Benedict College","2011","26"
"217873","Claflin University","2011","40"
"217907","Coker College","2011","49"
"217998","Erskine College","2011","55"
"218070","Furman","2011","87"
"218229","Lander University","2011","37"
"218238","Limestone College","2011","39"
"218399","Morris College","2011","33"
"218414","Newberry College","2011","35"
"218539","Presbyterian College","2011","68"
"218645","University of South Carolina-Aiken","2011","41"
"218654","University of South Carolina-Beaufort","2011","21"
"218742","University of South Carolina-Upstate","2011","39"
"218919","Voorhees College","2011","34"
"218973","Wofford College","2011","79"
"219000","Augustana University","2011","65"
"219091","Dakota Wesleyan University","2011","43"
"219204","National American University-Rapid City","2011","22"
"220181","Fisk University","2011","45"
"220206","Welch College","2011","42"
"220598","Lane College","2011","34"
"220604","Le Moyne-Owen College","2011","15"
"220701","Martin Methodist College","2011","49"
"220710","Maryville College","2011","54"
"221351","Rhodes College","2011","75"
"221519","Sewanee-The University of the South","2011","86"
"221731","Tennessee Wesleyan University","2011","44"
"222983","Austin College","2011","75"
"224527","East Texas Baptist University","2011","43"
"225548","Howard Payne University","2011","46"
"225575","Huston-Tillotson University","2011","20"
"225885","Jarvis Christian College","2011","14"
"226587","McMurry University","2011","36"
"227429","Paul Quinn College","2011","5"
"228042","Schreiner University","2011","39"
"228343","Southwestern University","2011","74"
"228468","Southwestern Adventist University","2011","38"
"228884","Texas College","2011","6"
"228981","Texas Lutheran University","2011","49"
"229887","Wiley College","2011","18"
"230047","Brigham Young University-Hawaii","2011","51"
"230630","Stevens-Henager College","2011","5"
"230816","Bennington College","2011","67"
"230834","Castleton University","2011","47"
"230931","Lyndon State College","2011","31"
"230940","Marlboro College","2011","66"
"230959","Middlebury College","2011","93"
"231059","Saint Michael's College","2011","82"
"231077","College of St Joseph","2011","45"
"231086","Southern Vermont College","2011","19"
"231095","Sterling College","2011","50"
"231420","Averett University","2011","41"
"231554","Bluefield College","2011","36"
"231581","Bridgewater College","2011","59"
"232025","Emory & Henry College","2011","59"
"232089","Ferrum College","2011","31"
"232256","Hampden-Sydney College","2011","67"
"232308","Hollins University","2011","63"
"233295","Randolph-Macon College","2011","60"
"233301","Randolph College","2011","63"
"233374","University of Richmond","2011","83"
"233426","Roanoke College","2011","69"
"233611","Southern Virginia University","2011","25"
"233718","Sweet Briar College","2011","70"
"233897","The University of Virginia's College at Wise","2011","39"
"234085","Virginia Military Institute","2011","69"
"234164","Virginia Union University","2011","29"
"234173","Virginia Wesleyan University","2011","48"
"234207","Washington and Lee University","2011","91"
"236328","University of Puget Sound","2011","73"
"237057","Whitman College","2011","86"
"237118","Alderson Broaddus University","2011","49"
"237181","Bethany College","2011","48"
"237215","Bluefield State College","2011","22"
"237358","Davis & Elkins College","2011","36"
"237385","Glenville State College","2011","31"
"237640","Ohio Valley University","2011","43"
"237792","Shepherd University","2011","46"
"237899","West Virginia State University","2011","25"
"237932","West Liberty University","2011","46"
"237950","West Virginia University Institute of Technology","2011","29"
"238333","Beloit College","2011","76"
"238476","Carthage College","2011","59"
"239017","Lawrence University","2011","77"
"239071","Maranatha Baptist University","2011","51"
"239512","Northland College","2011","48"
"239628","Ripon College","2011","70"
"239716","Saint Norbert College","2011","70"
"240338","Wisconsin Lutheran College","2011","63"
"240374","University of Wisconsin-Parkside","2011","28"
"240426","University of Wisconsin-Superior","2011","44"
"241128","American University of Puerto Rico","2011","24"
"241191","Universidad Adventista de las Antillas","2011","36"
