"unitid","institution name","year","HD2017.Carnegie Classification 2015: Basic","IC2017.Religious affiliation","DRVHR2017.Average salary equated to 9 months of full-time instructional staff - all ranks","DRVGR2017.Graduation rate - Bachelor degree within 6 years, total","DRVADM2017.Percent admitted - total","DRVADM2017.Admissions yield - total","ADM2017.SAT Evidence-Based Reading and Writing 25th percentile score","ADM2017.SAT Evidence-Based Reading and Writing 75th percentile score","ADM2017.SAT Math 25th percentile score","ADM2017.SAT Math 75th percentile score","ADM2017.ACT Composite 25th percentile score","ADM2017.ACT Composite 75th percentile score","F1617_F2.Total expenses","F1617_F2.Instruction-Total amount","F1617_F2.Value of endowment assets at the end of the fiscal year"
"154712","Benedictine College","2017","Baccalaureate Colleges: Diverse Fields","Roman Catholic","63134","63","97","19",,,,,"22","28","48962800","14655359","24371014"
"154721","Bethany College","2017","Baccalaureate Colleges: Diverse Fields","Evangelical Lutheran Church","38168","47","67","31","440","520","450","540","18","23","15480241","3660247","4856798"
"154749","Bethel College-North Newton","2017","Baccalaureate Colleges: Arts & Sciences Focus","Other (none of the above)","48895","42","56","25",,,,,,,"13845396","3651244","18557369"
"154855","Central Christian College of Kansas","2017","Baccalaureate Colleges: Diverse Fields","Free Methodist","32483","17","39","42","460","600","430","520","17","22","12766267","5978975","6139342"
"155414","Kansas Wesleyan University","2017","Baccalaureate Colleges: Diverse Fields","United Methodist","52158","32","54","42","460","550","470","540","19","24","16683250","3988606","27152173"
"155511","McPherson College","2017","Baccalaureate Colleges: Diverse Fields","Church of Brethren","53954","36","48","39","550","630","480","550","20","24","16727487","5583206","46071827"
"155627","Ottawa University-Ottawa","2017","Baccalaureate Colleges: Diverse Fields","American Baptist","55534","46","80","23","440","570","460","510","18","22","38381729","7190188","15313348"
"155636","Ottawa University-Kansas City","2017","Baccalaureate Colleges: Diverse Fields","American Baptist","46500",,,,,,,,,,,,
"155937","Sterling College","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","39733","39","52","24","450","530","450","540","18","22","14714742","3255940","16992335"
"155973","Tabor College","2017","Baccalaureate Colleges: Diverse Fields","Mennonite Brethren Church","43038","38","53","36","460","530","470","520","18","24","14744232","3353280","9446276"
"156189","Alice Lloyd College","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","43492","100","26","15","490","540","450","490","18","23","14246296","2843862","40783945"
"156295","Berea College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","71757","66","35","72","480","590","490","610","22","27","104699869","25473035","1150360300"
"156356","Brescia University","2017","Baccalaureate Colleges: Diverse Fields","Roman Catholic","48099","39","42","8",,,,,"19","23","14162108","6053244","12948728"
"156408","Centre College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Presbyterian Church (USA)","74384","82","76","21","590","680","580","730","26","31","64297703","25329278","314331271"
"156745","Georgetown College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Baptist","54740","53","67","18",,,,,"20","26","32887796","8570508","39606258"
"157058","Kentucky State University","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","56621","21","45","34","418","500","448","520","17","21",,,
"157076","Kentucky Wesleyan College","2017","Baccalaureate Colleges: Diverse Fields","United Methodist","47548","32","58","24","480","560","460","540","19","26","17024871","3341470","36092016"
"157100","Kentucky Christian University","2017","Baccalaureate Colleges: Diverse Fields","Christian Churches and Churches of Christ","43051","33","40","55","490","530","500","530","18","22","12318649","2685004","6281284"
"157535","University of Pikeville","2017","Baccalaureate Colleges: Arts & Sciences Focus","Presbyterian Church (USA)","54751","31","100","12","440","520","440","540","18","23","48041882","13530001","21869115"
"157818","Transylvania University","2017","Baccalaureate Colleges: Arts & Sciences Focus","Christian Church (Disciples of Christ)","67267","76","95","19",,,,,,,"37226391","10972796","179227848"
"158477","Centenary College of Louisiana","2017","Baccalaureate Colleges: Arts & Sciences Focus","United Methodist","63982","48","62","33","520","600","510","610","22","28","25451943","7081220","131640857"
"158802","Dillard University","2017","Baccalaureate Colleges: Arts & Sciences Focus","United Methodist","55490","40","41","13","320","540","470","490","18","21","45519226","14457384","77597098"
"159382","Louisiana State University-Alexandria","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","52032","8","31","70","440","540","350","580","18","22",,,
"160065","University of Holy Cross","2017","Baccalaureate Colleges: Diverse Fields","Roman Catholic","60652","52","46","10",,,,,"18","22","15240586","6705526","32088414"
"160959","College of the Atlantic","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","73426","66","68","28",,,,,,,"24599516","4753979","55284304"
"160977","Bates College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","98638","92","22","42",,,,,,,"112073881","40154643","293832686"
"161004","Bowdoin College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","107911","95","14","51",,,,,,,"160575000","55472000","1455909000"
"161086","Colby College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","78225","92","16","31","670","740","670","760","31","33","144738000","47579000","775129000"
"161217","University of Maine at Augusta","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","67890","15",,,,,,,,,,,
"161226","University of Maine at Farmington","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","62874","51","83","27",,,,,,,,,
"161235","University of Maine at Fort Kent","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","60821","30","97","24","450","560","450","530","17","22",,,
"161244","University of Maine at Machias","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","57053","34",,,,,,,,,,,
"161299","Maine Maritime Academy","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","100279","68","80","40","490","590","500","590","18","24",,,
"161341","University of Maine at Presque Isle","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","59345","26","95","13",,,,,,,,,
"161572","Unity College","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","55162","66","89","22",,,,,,,"16865560","4401971","14241075"
"162654","Goucher College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","73876","66","79","15",,,,,,,"71360000","25458290","209577000"
"163912","St Mary's College of Maryland","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","67661","78","82","25","540","650","530","640","22","28",,,
