"unitid","institution name","year","IC2015.Religious affiliation","DRVHR2015.Average salary equated to 9 months of full-time instructional staff - all ranks","DRVGR2015.Graduation rate - Bachelor degree within 6 years, total","DRVADM2015.Percent admitted - total","DRVADM2015.Admissions yield - total","ADM2015.SAT Critical Reading 25th percentile score","ADM2015.SAT Critical Reading 75th percentile score","ADM2015.SAT Math 25th percentile score","ADM2015.SAT Math 75th percentile score","ADM2015.ACT Composite 25th percentile score","ADM2015.ACT Composite 75th percentile score","F1415_F2.Total expenses","F1415_F2.Instruction-Total amount","F1415_F2.Value of endowment assets at the end of the fiscal year"
"198613","Guilford College","2015","Friends","57033","59","63","18",,,,,,,"50330301","15342915","81740115"
"198695","High Point University","2015","United Methodist","64053","65","72","17","501","593","511","603","22","27","136872933","40135131","49791008"
"198756","Johnson C Smith University","2015","Not applicable","56151","46","46","17","350","440","350","440","15","18","44854333","11347813","64381205"
"198808","Lees-McRae College","2015","Presbyterian Church (USA)","45234","36","67","21",,,,,,,"17553466","4819412","20165912"
"198862","Livingstone College","2015","African Methodist Episcopal Zion Church","48528","24","71","13","320","400","320","410","12","16","32518756","6792039",
"198899","Mars Hill University","2015","Not applicable","46467","34","61","21","400","490","410","500","17","22","31254915","8227689","43926787"
"198950","Meredith College","2015","Not applicable","61542","62","60","42","460","560","460","570","20","25","50827664","18983194","96523500"
"199069","University of Mount Olive","2015","Original Free Will Baptist","56898","39","51","26","395","500","400","520","17","21","38010935","10056132","31298257"
"199111","University of North Carolina at Asheville","2015","Not applicable","70245","60","79","28","540","640","520","610","23","28",,,
"199209","North Carolina Wesleyan College","2015","United Methodist","52641","23","55","19","380","480","380","490","16","22","27806018","9254231","10674736"
"199272","William Peace University","2015","Presbyterian Church (USA)","51390","43","50","23","380","490","380","490","15","21","21666849","3920105","36319561"
"199582","Saint Augustine's University","2015","Protestant Episcopal","46233","34","58","14","330","410","320","430","13","17","29966023","7061543","18021788"
"199607","Salem College","2015","Moravian Church","55233","60","62","33","470","640","470","600","21","29","26275375","8799573","61551207"
"199643","Shaw University","2015","Baptist","44883","29","60","13",,,,,,,"41868139","12271008","9956176"
"199698","St. Andrews University","2015","Presbyterian Church (USA)","46386","25","57","28","400","490","410","520","17","22","15141282","3618964","8204474"
"199865","Warren Wilson College","2015","Not applicable","55602","52","84","29","518","650","470","590","21","28","32043025","10631220","54899308"
"200059","Dickinson State University","2015","Not applicable","59697","29","93","65","390","550","440","530","18","22",,,
"200156","University of Jamestown","2015","Presbyterian Church (USA)","60237","42","65","31","371","579","385","581","18","28","20592250","8216316","34302019"
"200226","Mayville State University","2015","Not applicable","52785","27",,,,,,,,,,,
"200572","Valley City State University","2015","Not applicable","53568","41","86","60","377","475","357","480","18","23",,,
