"unitid","institution name","year","IC2010.Religious affiliation","DRVIC2010.Percent admitted - total","DRVIC2010.Admissions yield - total","DRVHR2010.Average salary equated to 9-month contracts of full-time instructional staff - all ranks","DRVGR2010.Graduation rate - Bachelor degree within 6 years, total","IC2010.SAT Critical Reading 25th percentile score","IC2010.SAT Critical Reading 75th percentile score","IC2010.SAT Math 25th percentile score","IC2010.SAT Math 75th percentile score","IC2010.ACT Composite 25th percentile score","IC2010.ACT Composite 75th percentile score","F0910_F2.Total expenses","F0910_F2.Instruction-Total amount","F0910_F2.Value of endowment assets at the end of the fiscal year"
"128780","Charter Oak State College","2010","Not applicable",,,,,,,,,,,,,
"128902","Connecticut College","2010","Not applicable","37","29","82339","87",,,,,,,"95364000","34892000","179250000"
"129774","Mitchell College","2010","Not applicable","83","39","64940","41",,,,,,,"23474567","4670444","5085017"
"130590","Trinity College","2010","Not applicable","43","29","85329","86","590","680","610","690","25","29","129970895","50079383","370807227"
"130624","United States Coast Guard Academy","2010","Not applicable","17","75","97158","77","550","670","600","690","25","30",,,
"130697","Wesleyan University","2010","Not applicable","22","34","94018","94","640","750","650","750","29","33","199238000","88484000","512875000"
"131098","Wesley College","2010","United Methodist","63","24","46778","32","380","470","380","470",,,"42940954","11495002","5442460"
"132602","Bethune-Cookman University","2010","United Methodist","69","26","47754","37","370","460","360","460","15","19","60938667","21718890","34035220"
"133492","Eckerd College","2010","Presbyterian Church (USA)","71","22","64567","69","510","620","495","610","23","28","63524219","25954017","37814196"
"133526","Edward Waters College","2010","African Methodist Episcopal","24","61","41994","15","340","420","340","450","14","17","20575737","3136943","1660594"
"133711","Flagler College-St Augustine","2010","Not applicable","56","42","55745","64","510","590","500","580","21","25","48494465","12328235","43124240"
"133979","Florida Memorial University","2010","Baptist","41","31","60479","36",,,,,,,"40443810","8716156","9019863"
"135610","Trinity International University-Florida","2010","Evangelical Free Church of America",,,"52794",,,,,,,,"3044013","1070082","207074"
"138275","Warner University","2010","Church of God","50","61","45873","35","390","480","420","500","16","21","14907805","3434335","3821392"
"138293","Webber International University","2010","Not applicable","53","54","41974","100","400","490","415","520","17","21","9942985","2022160","3485670"
"138600","Agnes Scott College","2010","Presbyterian Church (USA)","46","27","72214","68",,,,,,,"45435795","13627571","234972872"
"138868","Point University","2010","Christian Churches and Churches of Christ","46","66","46637","22","420","580","420","550","18","22","9472020","3460905","2943481"
"139205","Brewton-Parker College","2010","Baptist","50","41","46678","22","400","500","410","490","16","20","13771491","4122660","16412514"
"139393","Covenant College","2010","The Presbyterian Church in America","60","43","59232","55","540","660","510","620","22","28","29777903","9020699","21242402"
