"unitid","institution name","year","EF2009A.Level of student","EF2009A.Grand total","EF2009A.Grand total women","EF2009A.Asian total - new","EF2009A.Black or African American total - new","EF2009A.Hispanic total - new","IDX_EF"
"128902","Connecticut College","2009","All students, Undergraduate total","1906","1158",,,,"-2"
"129774","Mitchell College","2009","All students, Undergraduate total","961","473",,,,"-2"
"130590","Trinity College","2009","All students, Undergraduate total","2292","1140",,,,"-2"
"130624","United States Coast Guard Academy","2009","All students, Undergraduate total","973","265",,,,"-2"
"130697","Wesleyan University","2009","All students, Undergraduate total","2787","1408",,,,"-2"
"131098","Wesley College","2009","All students, Undergraduate total","2210","1196",,,,"-2"
"132602","Bethune-Cookman University","2009","All students, Undergraduate total","3617","2183","7","3401","59","-2"
"133492","Eckerd College","2009","All students, Undergraduate total","2520","1523",,,,"-2"
"133526","Edward Waters College","2009","All students, Undergraduate total","831","352","0","768","9","-2"
"133711","Flagler College-St Augustine","2009","All students, Undergraduate total","2716","1621",,,,"-2"
"133979","Florida Memorial University","2009","All students, Undergraduate total","1846","1106","6","1541","57","-2"
"135610","Trinity International University-Florida","2009","All students, Undergraduate total","268","187",,,,"-2"
"138275","Warner University","2009","All students, Undergraduate total","964","551","9","186","106","-2"
"138293","Webber International University","2009","All students, Undergraduate total","605","212",,,,"-2"
"138600","Agnes Scott College","2009","All students, Undergraduate total","842","833","33","205","42","-2"
"138868","Point University","2009","All students, Undergraduate total","690","389",,,,"-2"
"139205","Brewton-Parker College","2009","All students, Undergraduate total","1049","597","0","0","0","-2"
"139393","Covenant College","2009","All students, Undergraduate total","1304","768",,,,"-2"
"139630","Emmanuel College","2009","All students, Undergraduate total","732","394","4","144","38","-2"
"140234","LaGrange College","2009","All students, Undergraduate total","865","477",,,,"-2"
"140340","Herzing University-Atlanta","2009","All students, Undergraduate total","609","407","17","386","12","-2"
"140553","Morehouse College","2009","All students, Undergraduate total","2689","5",,,,"-2"
"140696","Oglethorpe University","2009","All students, Undergraduate total","1031","621","37","242","55","-2"
"140720","Paine College","2009","All students, Undergraduate total","907","593",,,,"-2"
"140872","Reinhardt University","2009","All students, Undergraduate total","1056","642",,,,"-2"
"140988","Shorter University","2009","All students, Undergraduate total","1205","597",,,,"-2"
